786,786 Invest Ltd
AABS,Al-Abbas Sugar
ABL,Allied Bank Ltd
ABOT,Abbott Lab.
ACPL,Attock Cement
ADAMS,Adam Sugar
ADMM,Artistic Denim
AEL,AEL Textile Ltd
AGHA,Agha Steel Ind.
AGIC,Ask.Gen.Insur.
AGIL,Agriautos Ind.
AGL,Agritech Limited
AGP,AGP Limited
AGSML,Abdullah Shah
AGTL,AL-Ghazi Tractors
AHCL,Arif Habib Corp
AHL,Arif Habib Ltd.
AICL,Adamjee Ins.
AIRLINK,Air Link Commun
AKBL,Askari Bank
AKDHL,AKD Hospitality
AKDSL,AKD Securites L
ALAC,Askari Life Ass
ALNRS,AL-Noor Sugar
ALTN,Altern Energy
ANL,Azgard Nine
APL,Attock Petroleum
ARPL,Archroma Pak
ARUJ,Aruj Industries
ASC,Al-Shaheer Corp
ASL,Aisha Steel Mill
ASLCPS,Aisha StelCoP/S
ASTL,Amreli Steels
ASTM,Asim Textile
ATBA,Atlas Battery
ATIL,Atlas Ins. Ltd
ATLH,Atlas Honda Ltd
ATRL,Attock Refinery
AVN,Avanceon Ltd
BAFL,Bank Al-Falah
BAHL,Bank AL-Habib
BATA,Bata (Pak)
BCL,Bolan Casting
BECO,Beco Steel Ltd
BERG,Berger Paints
BGL,Bal.Glass
BIFO,Biafo Ind.
BIPL,Bankislami Pak.
BNL,Bunnys Limited
BNWM,Bannu Woollen
BOP,B.O.Punjab
BPL,Burshane LPG
BUXL,Buxly Paints
BWCL,Bestway Cement
CEPB,Century Paper
CHAS,Chashma Sugar
CHCC,Cherat Cement
CLOV,Clover Pakistan
CLVL,Cordoba Logist
CNERGY,Cnergyico PK
COLG,Colgate Palm
CPHL,Citi Pharma Ltd
CPPL,Cherat Packg
CRTM,Crescent Tex.
CSAP,Crescent Steel
CSIL,Cres.Star Ins.
CTM,Colony Tex.Mills Ltd
CYAN,Cyan Limited
DADX,Dadex Eternit
DAWH,Dawood Hercules
DCL,Dewan Cement
DCR,Dolmen City
DEL,Dawood Equities
DFML,Dewan Motors
DFSM,Dewan Farooque Sp.
DGKC,D.G.K.Cement
DLL,Dawood Law
DOL,Descon Oxychem
DSIL,D.S. Ind. Ltd.
DYNO,Dynea Pakistan
ECOP,ECOPACK Ltd
EFERT,Engro Fert.
EFUL,EFU Life Assr
EMCO,EMCO Industries
ENGRO,Engro Corp
EPCL,Engro Polymer
EPCLPS,Engro Poly (Pref)
EPQL,Engro Powergen
ESBL,Escorts Bank
EXIDE,Exide (PAK)
FABL,Faysal Bank
FATIMA,Fatima Fert.
FCCL,Fauji Cement
FCEPL,Frieslandcampina
FCIBL,F.Credit & Inv
FCSC,Ist.Capital Sec
FDIBL,Ist.Dawood Bank
FECM,Elite Cap.Mod
FECTC,Fecto Cement
FEROZ,Ferozsons (Lab)
FFBL,Fauji Fert Bin
FFC,Fauji Fert.
FFL,Fauji Foods Ltd
FHAM,Habib Modaraba
FIBLM,I.B.L.Modarab
FLYNG,Flying Cement
FNEL,F. Nat.Equities
FPJM,Punjab Mod
FRSM,Faran Sugar
FTMM,F.Treet Manuf
FUDLM,U.D.L.Modaraba
GADT,Gadoon Textile
GAL,Ghandhara Automobile
GAMON,Gammon Pak
GATM,Gul Ahmed
GCIL,Ghani Chemical
GGGL,GhaniGlobalGlass
GGL,Ghani Glo Hol
GHGL,Ghani Glass Ltd
GHNI,Ghandhara Ind.
GLAXO,GlaxoSmithKline
GRR,Globe Residency
GRYL,Grays Leasing
GTYR,Ghandhara Tyre
GVGL,Ghani Value Glas
GWLC,Gharibwal Cement
HABSM,Habib Sugar
HAEL,Hala Enterprise
HALEON,Haleon Pakistan
HBL,Habib Bank
HBLTETF,HBL Total Treasury
HCAR,Honda Atlas Cars
HGFA,HBL Growth Fund
HICL,Habib Ins.
HIFA,HBL Invest Fund
HINO,Hinopak Motor
HINOON,Highnoon (Lab)
HMB,Habib Metropol.
HPL,Hoechst Pak Ltd
HTL,HI-Tech Lub.
HUBC,Hub Power Co.
HUMNL,Hum Network
IBFL,Ibrahim Fibres
IBLHL,IBL HealthCare
ICIBL,Invest Bank
ICL,Ittehad Chem.
IDYM,Indus Dyeing
IGIHL,IGI Holdings
IGIL,IGI Life Ins
ILP,Interloop Ltd.
IMAGE,Image Pakistan
INDU,Indus Motor Co
INIL,Int. Ind.Ltd.
ISL,Inter.Steel Ltd
ITTEFAQ,Ittefaq Iron Ind
JGICL,Jubilee Gen.Ins
JLICL,Jubile Life Ins
JOPP,Johnson & Philips
JSBL,JS Bank Ltd
JSCL,Jah.Sidd. Co.
JSGBETF,JS Global Banking
JSIL,JS Investments
JVDC,Javedan Corp.
KAPCO,Kot Addu Power
KEL,K-Electric Ltd.
KHTC,Khyber Tobacco
KOHC,Kohat Cement
KOHE,Kohinoor Energy
KOHP,Kohinoor Power
KOHTM,Kohat Textile
KOIL,Kohinoor Ind.
KOSM,Kohinoor Spining
KSBP,K.S.B.Pumps
KTML,Kohinoor Textile
LCI,Lucky Core Ind.
LEUL,Leather Up Ltd.
LOADS,Loads Limited
LOTCHEM,Lotte Chemical
LPGL,Leiner Pak Gelat
LPL,Lalpir Power
LSEPL,LSE Proptech Ltd
LSEVL,LSE Ventures Ltd
LUCK,Lucky Cement
MACFL,MACPAC Films
MARI,Mari Petroleum
MCB,MCB Bank Ltd
MCBIM,MCB Inv MGT
MEBL,Meezan Bank
MERIT,Merit Packaging
META,MetaTech Trading
MFFL,MithchellsFruit
MFL,Matco Foods Ltd
MIRKS,Mirpurkhas Sugar
MLCF,Maple Leaf
MODAM,Mod.Al-Mali-
MRNS,Mehran Sugar
MSCL,Metro Steel
MSOT,Masood Textile
MTL,Millat Tractors
MUGHAL,Mughal Iron
MUREB,Murree Brewery
MZNPETF,Meezan Pakistan
NATF,National Foods
NBP,National Bank
NCL,Nishat (Chun.)
NCPL,Nishat ChunPow
NESTLE,Nestle Pakistan
NETSOL,Netsol Tech.
NEXT,Next Capital
NICL,Nimir Ind.Chem.
NITGETF,NIT Pakistan
NML,Nishat Mills Ltd
NPL,Nishat Power
NRL,National Refinery
NRSL,Nimir Resins
OBOY,Oilboy Energy L
OCTOPUS,Octopus Digital
OGDC,Oil & Gas Dev.
OLPL,OLP Financial
OLPM,OLP Modaraba
OTSU,Otsuka Pak
PABC,Pakistan Alumin
PACE,Pace (Pak) Ltd.
PAEL,Pak Elektron
PAKD,Pak Datacom
PAKOXY,Pak Oxygen Ltd.
PAKRI,Pak Reinsurance
PAKT,Pak Tobacco
PCAL,Pakistan Cables
PGLC,Pak Gulf Leasing
PHDL,Pak Hotels
PIAA,P.I.A.C.(A)
PIBTL,Pak Int.Bulk
PICT,Pak.Int.Cont.
PIOC,Pioneer Cement
PKGP,Pakgen Power
PKGS,Packages Ltd.
PMI,Prud Mod.1st
PNSC,P.N.S.C
POL,Pak Oilfields
POML,Punjab Oil
POWER,Power Cement
PPL,Pak Petroleum
PPP,Pak Paper Prod
PREMA,At-Tahur Ltd.
PRL,Pak Refinery
PRWM,Prosperity Weaving
PSEL,Pak Services
PSMC,Pak Suzuki
PSO,P.S.O.
PSX,Pak Stock Exchange
PSYL,Pak Synthetics
PTC,P.T.C.L.
PTL,Panther Tyres Ltd.
QUET,Quetta Textile
QUICE,Quice Food
REDCO,Redco Textile
RICL,Reliance Ins.
RMPL,Rafhan Maize
RPL,Roshan Packages
RUPL,Rupali Polyester
SAZEW,Sazgar Eng
SBL,Samba Bank
SCBPL,St.Chart.Bank
SEARL,The Searle Company
SEPL,Security Paper
SERT,Service Ind Tex
SGF,Service Global
SHDT,Shadab Textile
SHEL,Shell Pakistan
SHEZ,Shezan Inter.
SHFA,Shifa Int.Hosp
SHSML,Shahmurad Sugar
SIBL,Sec. Inv. Bank
SIEM,Siemens Pak.
SILK,Silk Bank Ltd
SITC,Sitara Chemical
SLL,SME Leasing Ltd
SMBL,Summit Bank
SNAI,Sana Ind.
SNBL,Soneri Bank Ltd
SNGP,Sui North Gas
SPEL,Synthetic Prod
SPWL,Saif Power Ltd.
SRVI,Service Ind.Ltd
SSGC,Sui South Gas
STCL,Shabbir Tiles
STJT,Shahtaj Textile
STPL,Siddiqsons Tin
SYM,Symmetry Group Ltd
SYS,Systems Limited
TCORP,Tariq Corp Ltd.
TELE,Telecard Limited
TGL,Tariq Glass Ind.
THALL,Thal Limited
THCCL,Thatta Cement
TOMCL,The Organic Meat
TOWL,Towellers Limited
TPL,TPL Corp Ltd
TPLI,TPL Insurance
TPLP,TPL Properties
TPLT,TPL Trakker Ltd
TREET,Treet Corp
TREETR2,Treet Corp (R)
TRG,TRG Pak Ltd
TSPL,Tri-Star Power
UBL,United Bank
UCAPM,Unicap Modaraba
UNIC,United Insurance
UNITY,Unity Foods Ltd
UPFL,Unilever Foods
UVIC,Universal Ins.
WAHN,Wah-Noble
WAVES,Waves Corp Ltd.
WHALE,Waves Home Appl
WTL,WorldCall Telecom
YOUW,Yousuf Weaving
BELA,Bela Automotive
DNCC,Dandot Cement
DSL,Dost Steels Ltd.
DWSM,Dewan Sugar
HASCOL,Hascol Petrol
HIRAT,Hira Textile
MDTL,Media Times Ltd
NCML,Nazir Cotton Mills
PASL,Pervez Ahmed Co
PECO,Pak Engineering
PIL,PICIC Ins.Ltd.
SKRS,Sakrand Sugar
SPL,Sitara Peroxide
SSML,Saritow Spinning